,0
0,1
1,2
2,15
3,16
4,21
5,25
6,30
7,33
8,34
9,42
10,43
11,45
12,55
13,71
14,75
15,85
16,87
17,88
18,89
19,90
20,97
21,105
22,112
23,113
24,114
25,116
26,117
27,119
28,130
29,137
30,141
31,149
32,154
33,159
34,177
35,180
36,181
37,186
38,198
39,208
40,217
41,223
42,224
43,229
44,230
45,234
46,236
47,238
48,245
49,255
50,267
51,279
52,281
53,286
54,289
55,294
56,298
57,302
58,310
59,315
60,317
61,324
62,325
63,332
64,349
65,352
66,354
67,357
68,363
69,372
70,378
71,405
72,411
73,414
74,419
75,420
76,421
77,427
78,429
79,434
80,437
81,451
82,454
83,456
84,457
85,458
86,463
87,464
88,480
89,483
90,491
91,493
92,495
93,501
94,507
95,509
96,516
97,527
98,528
99,531
100,546
101,549
102,558
103,569
104,575
105,578
106,579
107,585
108,587
109,588
110,594
111,598
112,606
113,607
114,617
115,620
116,621
117,626
118,631
119,640
120,647
121,648
122,667
123,668
124,671
125,679
126,680
127,686
128,688
129,692
130,693
131,703
132,704
133,707
134,714
135,719
136,728
137,729
138,734
139,738
140,739
141,741
142,743
143,745
144,749
145,753
146,755
147,761
148,768
149,792
150,803
151,808
152,818
153,819
154,821
155,823
156,824
157,834
158,843
159,851
160,862
161,865
162,866
163,879
164,881
165,882
166,884
167,890
168,892
169,945
170,950
171,954
172,955
173,963
174,967
175,971
176,983
177,987
178,988
179,991
180,992
181,999
182,1000
183,1006
184,1007
185,1013
186,1014
187,1015
188,1016
189,1027
190,1032
191,1036
192,1045
193,1048
194,1050
195,1051
196,1052
197,1055
198,1056
199,1063
200,1071
201,1072
202,1075
203,1081
204,1082
205,1087
206,1099
207,1103
208,1106
209,1112
210,1116
211,1119
212,1129
213,1138
214,1140
215,1142
216,1147
217,1155
218,1162
219,1163
220,1166
221,1168
222,1170
223,1172
224,1175
225,1205
226,1213
227,1218
228,1219
229,1223
230,1225
231,1226
232,1234
233,1239
234,1243
235,1261
236,1262
237,1263
238,1265
239,1267
240,1280
241,1285
242,1286
243,1293
244,1298
245,1304
246,1312
247,1321
248,1322
249,1342
250,1355
251,1357
252,1359
253,1360
254,1368
255,1369
256,1372
257,1380
258,1387
259,1391
260,1399
261,1411
262,1427
263,1435
264,1442
265,1443
266,1448
267,1449
268,1463
269,1467
270,1469
271,1473
272,1474
273,1475
274,1478
275,1481
276,1482
277,1483
278,1484
279,1486
280,1488
281,1494
282,1496
283,1498
284,1499
285,1508
286,1516
287,1519
288,1538
289,1539
290,1551
291,1553
292,1558
293,1563
294,1565
295,1567
296,1570
297,1587
298,1593
299,1600
300,1603
301,1619
302,1623
303,1627
304,1629
305,1641
306,1648
307,1653
308,1655
309,1659
310,1664
311,1674
312,1675
313,1677
314,1678
315,1681
316,1683
317,1684
318,1688
319,1697
320,1715
321,1716
322,1732
323,1733
324,1740
325,1743
326,1746
327,1748
328,1752
329,1753
330,1762
331,1764
332,1767
333,1775
334,1781
335,1785
336,1790
337,1791
338,1792
339,1802
340,1804
341,1820
342,1828
343,1829
344,1830
345,1834
346,1853
347,1858
348,1861
349,1873
350,1878
351,1879
352,1884
353,1886
354,1896
355,1899
356,1901
357,1908
358,1924
359,1926
360,1928
361,1936
362,1940
363,1943
364,1953
365,1954
366,1962
367,1968
368,1979
369,1981
370,1984
371,1989
372,1996
373,2000
374,2001
375,2004
376,2008
377,2020
378,2024
379,2028
380,2037
381,2042
382,2044
383,2056
384,2057
385,2060
386,2072
387,2095
388,2096
389,2097
390,2103
391,2104
392,2106
393,2117
394,2120
395,2129
396,2135
397,2137
398,2146
399,2150
400,2153
401,2156
402,2160
403,2166
404,2168
405,2169
406,2172
407,2174
408,2180
409,2182
410,2183
411,2187
412,2191
413,2192
414,2201
415,2206
416,2218
417,2223
418,2224
419,2241
420,2243
421,2248
422,2260
423,2262
424,2265
425,2266
426,2271
427,2272
428,2277
429,2289
430,2292
431,2294
432,2309
433,2311
434,2312
435,2317
436,2330
437,2334
438,2336
439,2351
440,2364
441,2388
442,2395
443,2399
444,2400
445,2413
446,2414
447,2415
448,2419
449,2422
450,2423
451,2424
452,2427
453,2428
454,2433
455,2435
456,2436
457,2443
458,2444
459,2446
460,2472
461,2476
462,2477
463,2482
464,2485
465,2489
466,2492
467,2499
468,2511
469,2532
470,2533
471,2542
472,2566
473,2573
474,2590
475,2597
476,2600
477,2602
478,2610
479,2619
480,2622
481,2625
482,2650
483,2651
484,2653
485,2657
486,2664
487,2667
488,2673
489,2689
490,2692
491,2696
492,2698
493,2699
494,2701
495,2707
496,2712
497,2720
498,2726
499,2732
500,2762
501,2765
502,2766
503,2770
504,2772
505,2773
506,2776
507,2777
508,2780
509,2781
510,2783
511,2798
512,2821
513,2823
514,2824
515,2831
516,2841
517,2842
518,2844
519,2861
520,2863
521,2865
522,2869
523,2873
524,2874
525,2886
526,2888
527,2892
528,2902
529,2903
530,2907
531,2908
532,2918
533,2924
534,2933
535,2949
536,2950
537,2955
538,2962
539,2979
540,2982
541,2984
542,2986
543,2991
544,2992
545,2993
546,3006
547,3016
548,3019
549,3022
550,3023
551,3028
552,3030
553,3032
554,3033
555,3036
556,3038
557,3052
558,3056
559,3068
560,3075
561,3076
562,3079
563,3083
564,3085
565,3086
566,3091
567,3099
568,3109
569,3117
570,3118
571,3122
572,3133
573,3134
574,3137
575,3143
576,3154
577,3158
578,3170
579,3177
580,3185
581,3193
582,3208
583,3211
584,3222
585,3235
586,3238
587,3244
588,3254
589,3255
590,3261
591,3273
592,3275
593,3276
594,3284
595,3288
596,3289
597,3293
598,3294
599,3300
600,3305
601,3307
602,3309
603,3310
604,3315
605,3328
606,3330
607,3331
608,3334
609,3341
610,3349
611,3351
612,3355
613,3359
614,3362
615,3364
616,3373
617,3382
618,3384
619,3386
620,3388
621,3395
622,3405
623,3413
624,3415
625,3417
626,3421
627,3431
628,3433
629,3438
630,3440
631,3441
632,3442
633,3460
634,3461
635,3464
636,3467
637,3468
638,3509
639,3510
640,3524
641,3532
642,3534
643,3539
644,3555
645,3564
646,3568
647,3574
648,3580
649,3585
650,3587
651,3588
652,3589
653,3590
654,3592
655,3595
656,3596
657,3600
658,3602
659,3606
660,3607
661,3612
662,3615
663,3640
664,3642
665,3648
666,3649
667,3653
668,3657
669,3659
670,3672
671,3675
672,3678
673,3685
674,3686
675,3689
676,3695
677,3706
678,3712
679,3713
680,3718
681,3734
682,3735
683,3747
684,3754
685,3757
686,3759
687,3761
688,3763
689,3764
690,3768
691,3773
692,3777
693,3779
694,3790
695,3801
696,3818
697,3823
698,3829
699,3837
700,3847
701,3853
702,3855
703,3860
704,3866
705,3874
706,3878
707,3879
708,3880
709,3892
710,3893
711,3896
712,3899
713,3913
714,3921
715,3923
716,3927
717,3928
718,3946
719,3948
720,3951
721,3953
722,3955
723,3960
724,3968
725,3982
726,3987
727,4012
728,4013
729,4018
730,4046
731,4058
732,4061
733,4064
734,4070
735,4075
736,4079
737,4082
738,4084
739,4088
740,4093
741,4094
742,4109
743,4115
744,4118
745,4125
746,4126
747,4134
748,4137
749,4143
750,4165
751,4181
752,4182
753,4184
754,4196
755,4201
756,4203
757,4204
758,4215
759,4220
760,4236
761,4239
762,4243
763,4246
764,4247
765,4255
766,4263
767,4267
768,4269
769,4284
770,4286
771,4289
772,4290
773,4291
774,4292
775,4299
776,4301
777,4303
778,4307
779,4308
780,4310
781,4312
782,4326
783,4337
784,4344
785,4345
786,4354
787,4357
788,4358
789,4379
790,4384
791,4394
792,4400
793,4423
794,4424
795,4430
796,4435
797,4449
798,4456
799,4458
800,4464
801,4470
802,4493
803,4494
804,4496
805,4514
806,4515
807,4518
